Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","2132","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","1979","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","1213","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","801","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","7148","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","87","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","298","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","419","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","299","S","Standardized data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2949","Eggs","2011","2011","1000 tonnes","207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","6500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","57","Belarus","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2511","Wheat and products","2011","2011","1000 tonnes","1688","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2513","Barley and products","2011","2011","1000 tonnes","340","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","860","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2515","Rye and products","2011","2011","1000 tonnes","2","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","4129","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2549","Pulses, Other and products","2011","2011","1000 tonnes","2","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","272","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","2","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","1108","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","403","S","Standardized data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2949","Eggs","2011","2011","1000 tonnes","170","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2948","Milk - Excluding Butter","2011","2011","1000 tonnes","3110","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","255","Belgium","5511","Production","2960","Fish, Seafood","2011","2011","1000 tonnes","23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","23","Belize","5511","Production","2805","Rice (Milled Equivalent)","2011","2011","1000 tonnes","13","S","Standardized data"
"FBS","Food Balance Sheets","23","Belize","5511","Production","2514","Maize and products","2011","2011","1000 tonnes","63","S","Standardized data"
"FBS","Food Balance Sheets","23","Belize","5511","Production","2907","Starchy Roots","2011","2011","1000 tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","23","Belize","5511","Production","2731","Bovine Meat","2011","2011","1000 tonnes","2","S","Standardized data"
"FBS","Food Balance Sheets","23","Belize","5511","Production","2732","Mutton & Goat Meat","2011","2011","1000 tonnes","0","S","Standardized data"
"FBS","Food Balance Sheets","23","Belize","5511","Production","2733","Pigmeat","2011","2011","1000 tonnes","1","S","Standardized data"
"FBS","Food Balance Sheets","23","Belize","5511","Production","2734","Poultry Meat","2011","2011","1000 tonnes","14","S","Standardized data"
