Country Name,Country Code,Gini Avg 2011 to 2013,"Gini Flag(Selecing whichever is the closest, if two values with equal distance to 2012. Average)",ari_employment value (AVG 2011-2013),agri_gdp_percentage(AVG from 2011 to 2013),Agri_Flag,AVG GDP 2011-2013 Constant 2010,GDP Flag,Unemployment(AVG 2011 to 2013)
Namibia,NAM,60.05,Averaging Equal Distance,29.39966647,7.543605131,,12489840239,,18.47966639
New Caledonia,NCL,NaN,,2.70600001,NaN,,NaN,,14.53999996
Niger,NER,31.5,,77.04533386,37.39808228,,6426196210,,0.324666669
Nigeria,NGA,43,Closest Entry,39.25866699,21.61776415,,4.02E+11,,3.697666725
Nicaragua,NIC,45.05,Averaging Equal Distance,31.43033346,17.66242769,,9878021630,,5.623000145
Netherlands,NLD,27.8,,2.53733333,1.676447814,,8.53E+11,,6.013666789
Norway,NOR,25.8,,2.267666658,1.260991848,,4.43E+11,,3.253666639
Nepal,NPL,32.8,Closest Entry,72.29366557,33.22058745,,17316442682,,1.551666657
Nauru,NRU,NaN,,NaN,3.371817937,Closest Entry,65588136.92,,NaN
New Zealand,NZL,NaN,,6.728333314,7.989827689,,1.54E+11,,6.562333425
OECD members,OED,NaN,,5.019318714,1.539578353,,4.61E+13,,7.924939608
Oman,OMN,NaN,,5.096333345,1.238887077,,62524490680,,4.306000074
Other small states,OSS,NaN,,24.33186039,2.180243451,,3.62E+11,,10.61114317
Pakistan,PAK,30.8,Missing One,42.87466685,24.22384928,,1.89E+11,,1.808333317
Panama,PAN,51.5,,16.53999964,3.073838376,,35735367312,,2.334000031
Peru,PER,44.33333333,,27.70933342,6.831218181,,1.67E+11,,3.262666623
Philippines,PHL,42.2,,32.00333278,11.93577775,,2.21E+11,,3.530999979
Palau,PLW,NaN,,NaN,3.700918985,,195934488.3,,NaN
Papua New Guinea,PNG,41.9,,69.68133545,19.2442204,,15047534870,,2.663666646
Poland,POL,32.56666667,,12.49533335,2.790050348,,5.11E+11,,10.01533349
Pre-demographic dividend,PRE,NaN,,56.15469885,18.3219538,,1.12E+12,,5.106196796
Puerto Rico,PRI,NaN,,1.432999969,0.807495836,,97947435933,,14.83333333
"Korea, Dem. People’s Rep.",PRK,NaN,,60.03900146,NaN,,NaN,,3.659333308
Portugal,PRT,36.16666667,,10.41566658,1.936292525,,2.27E+11,,14.79566701
Paraguay,PRY,49.26666667,,24.8270003,12.32335299,,29062340917,,4.379666805
West Bank and Gaza,PSE,34.4,Closest Entry,11.28299967,4.921828954,,10518019951,,22.43533325
Pacific island small states,PSS,NaN,,48.90468265,13.34761805,,6820344621,,3.918464277
Post-demographic dividend,PST,NaN,,3.738150129,1.39906587,,4.37E+13,,8.025202012
French Polynesia,PYF,NaN,,8.849333127,NaN,,NaN,,13.15766653
Qatar,QAT,NaN,,1.364000002,0.095647597,,1.48E+11,,0.436666667
Romania,ROU,36.43333333,,29.40633329,5.435613948,,1.74E+11,,7.022333463
Russian Federation,RUS,40.43333333,,7.334666729,3.248814848,,1.64E+12,,5.809999943
Rwanda,RWA,45.1,,75.54533386,28.78037931,,6706415570,,1.117666682
South Asia,SAS,NaN,,47.13160751,17.61663712,,2.29E+12,,2.701547849
Saudi Arabia,SAU,NaN,,4.380333264,2.136026891,,6.07E+11,,5.620000045
